(2, ['Unknown', 'Name'], [None, 203], [(3, 0), (None, None)], [True, False], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Unknown,Name
189,\x10\x3e\x03,ナエ
190,\x10\x3e\x03,ナエ
191,\x10\x3e\x05,ナエ
192,\x10\x3e\x05,ナエ
193,\x10\x3e\x05,ナエ
194,\x0f\x3f\x05,メダロットはかせ
195,\x0f\x3f\x05,メダロットはかせ
196,\x0f\x3f\x05,メダロットはかせ
197,\x0f\x3f\x05,メダロットはかせ
198,\x0f\x3f\x05,メダロットはかせ
199,\x51\x40\x00,ヘロケロベロス
200,\x51\x40\x00,ヘロケロベロス
201,\x51\x40\x00,ヘロケロベロス
202,\x1f\x41\x00,コクエン
203,\x47\x42\x00,コクエンたい
204,\x16\x43\x01,シオカラ
205,\x16\x43\x01,シオカラ
206,\x05\x44\x00,スクリュ-ズ
207,\x05\x44\x00,スクリュ-ズ
208,\x05\x44\x00,スクリュ-ズ
209,\x05\x44\x00,スクリュ-ズ
210,\x05\x44\x00,スクリュ-ズ
211,\x1a\x45\x01,セレクトたいいん
212,\x52\x46\x01,フランケン
213,\x52\x46\x01,フランケン
214,\x14\x47\x01,サケカ-ス
215,\x17\x48\x01,サラミ
216,\x21\x49\x01,シュリ
217,\x15\x4a\x01,スルメ
218,\x15\x4a\x01,スルメ
219,\x15\x4a\x01,スルメ
220,\x20\x4b\x00,ハクマ
221,\x23\x4c\x00,ミズチ
222,\x23\x4c\x00,ミズチ
223,\x23\x4c\x00,ミズチ
224,\x51\x4d\x00,たそくメダロット
225,\x52\x4e\x00,にそくメダロット
226,\x52\x4e\x00,にそくメダロット
227,\x13\x4f\x00,ロボロボだんいん
228,\x52\x50\x00,ブラックメイル
229,\x52\x50\x00,ブラックメイル
230,\x52\x51\x00,ブロッソメイル
231,\x52\x51\x00,ブロッソメイル
232,\x52\x52\x00,ベルゼルガ
233,\x52\x52\x00,ベルゼルガ
234,\x52\x52\x00,ベルゼルガ
235,\x52\x52\x00,ベルゼルガ
236,\x52\x52\x00,ベルゼルガ
237,\x52\x52\x00,ベルゼルガ
238,\x52\x52\x00,ベルゼルガ
239,\x52\x52\x00,ベルゼルガ
240,\x13\x53\x00,ロボロボだんいん
241,\x13\x53\x00,ロボロボだんいん
242,\x13\x53\x00,ロボロボだんいん
243,\x13\x53\x00,ロボロボだんいん
244,\x13\x53\x00,ロボロボだんいん
245,\x13\x53\x00,ロボロボだんいん
246,\x13\x53\x00,ロボロボだんいん
247,\x13\x53\x00,ロボロボだんいん
248,\x13\x53\x00,ロボロボだんいん
249,\x13\x53\x00,ロボロボだんいん
250,\x13\x53\x00,ロボロボだんいん
251,\x13\x53\x00,ロボロボだんいん
252,\x13\x53\x00,ロボロボだんいん
253,\x13\x53\x00,ロボロボだんいん
254,\x13\x53\x00,ロボロボだんいん
255,\x13\x53\x00,ロボロボだんいん
