(1, [], [None], [(35, 0)], [True], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Entry00
17#kuwagata,\x03\x01\x13\x13\x13\x13\x4b\x4b\x4b\x4b\xf9\xf9\xf9\xf9\x08\x1d\x07\x19\x14\x0f\x21\x03\x10\x23\x05\x12\x38\x12\x31\x05\x10\x31\x02\x13\x00
18#kabuto,\x03\x01\x13\x13\x13\x13\x46\x46\x46\x46\xf9\xf9\xf9\xf9\x08\x1d\x07\x2d\x28\x23\x21\x03\x10\x23\x05\x22\x02\x02\x05\x00\x23\x10\x20\x23\x00
18#kuwagata,\x03\x01\x13\x13\x13\x13\x4b\x4b\x4b\x4b\xf9\xf9\xf9\xf9\x08\x1d\x07\x2d\x28\x23\x21\x03\x10\x23\x05\x12\x38\x12\x31\x05\x23\x10\x20\x23\x00
19#kabuto,\x03\x01\x13\x13\x13\x13\x46\x46\x46\x46\xf9\xf9\xf9\xf9\x08\x1d\x07\x37\x32\x2d\x21\x03\x10\x23\x05\x11\x33\x20\x22\x03\x10\x31\x02\x13\x00
19#kuwagata,\x03\x01\x13\x13\x13\x13\x4b\x4b\x4b\x4b\xf9\xf9\xf9\xf9\x08\x1d\x07\x37\x32\x2d\x21\x03\x10\x23\x05\x10\x00\x80\x23\x05\x10\x31\x02\x13\x00
20#kabuto,\x03\x01\x13\x13\x13\x13\x46\x46\x46\x46\xf9\xf9\xf9\xf9\x08\x1d\x07\x41\x3c\x37\x21\x03\x10\x23\x05\x22\x02\x02\x05\x00\x10\x31\x02\x13\x00
20#kuwagata,\x03\x01\x13\x13\x13\x13\x4b\x4b\x4b\x4b\xf9\xf9\xf9\xf9\x08\x1d\x07\x41\x3c\x37\x21\x03\x10\x23\x05\x12\x38\x12\x31\x05\x10\x31\x02\x13\x00
21#kabuto,\x01\x01\x46\x46\x46\x46\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x41\x3c\x37\x13\x23\x02\x02\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
21#kuwagata,\x01\x01\x4b\x4b\x4b\x4b\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x08\x08\x41\x3c\x37\x81\x23\x00\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
22#kabuto,\x03\x01\xb9\xb9\xb9\xb9\xd7\xd7\xd7\xd7\x00\x00\x00\x00\x01\x15\x08\x2d\x28\x23\x23\x83\x10\x23\x05\x11\x33\x03\x03\x00\x11\x11\x11\x15\x00
22#kuwagata,\x03\x01\xb7\xb7\xb7\xb7\xd7\xd7\xd7\xd7\x00\x00\x00\x00\x00\x15\x08\x2d\x28\x23\x23\x83\x10\x23\x05\x11\x33\x03\x03\x00\x11\x11\x11\x15\x00
23#kabuto,\x01\x01\xb9\xb9\xb9\xb9\x00\x00\x00\x00\x00\x00\x00\x00\x01\x08\x08\x37\x32\x2d\x23\x83\x10\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
23#kuwagata,\x01\x01\xb7\xb7\xb7\xb7\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x37\x32\x2d\x23\x83\x10\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
24#kabuto,\x03\x01\xb9\xb9\xb9\xb9\xd7\xd7\xd7\xd7\x00\x00\x00\x00\x01\x15\x08\x37\x32\x2d\x23\x83\x10\x23\x05\x11\x33\x03\x03\x00\x11\x11\x11\x15\x00
24#kuwagata,\x03\x01\xb7\xb7\xb7\xb7\xd7\xd7\xd7\xd7\x00\x00\x00\x00\x00\x15\x08\x37\x32\x2d\x23\x83\x10\x23\x05\x11\x33\x03\x03\x00\x11\x11\x11\x15\x00
25,\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x0f\x0a\x05\x11\x11\x11\x15\x00\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
26,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x19\x14\x0f\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00
27,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x23\x1e\x19\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00
28,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x37\x32\x2d\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00
29,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x37\x32\x2d\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00\x11\x11\x11\x15\x00
30,\x03\x01\x64\x64\x64\x64\x54\x54\x54\x54\x54\x54\x54\x54\x1a\x17\x17\x0f\x0a\x05\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
31,\x03\x01\x64\x64\x64\x64\x54\x54\x54\x54\x54\x54\x54\x54\x1a\x17\x17\x19\x14\x0f\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
32,\x03\x01\x64\x64\x64\x64\x54\x54\x54\x54\x54\x54\x54\x54\x1a\x17\x17\x23\x1e\x19\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
33,\x03\x01\x64\x64\x64\x64\x54\x54\x54\x54\x54\x54\x54\x54\x1a\x17\x17\x37\x32\x2d\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
34,\x03\x01\x64\x64\x64\x64\x54\x54\x54\x54\x54\x54\x54\x54\x1a\x17\x17\x37\x32\x2d\x81\x10\x11\x05\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
35,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x07\x1a\x1a\x0f\x0a\x05\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
36,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x07\x1a\x1a\x19\x14\x0f\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
37,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x07\x1a\x1a\x23\x1e\x19\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
38,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x07\x1a\x1a\x37\x32\x2d\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
39,\x03\x01\x48\x48\x48\x48\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x3c\x07\x1a\x1a\x37\x32\x2d\x82\x23\x32\x33\x01\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
40,\x03\x01\x4e\x4e\x4e\x4e\x79\x79\x79\x79\x79\x79\x79\x79\x16\x16\x16\x0f\x0a\x05\x01\x81\x01\x11\x03\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
41,\x03\x01\x4e\x4e\x4e\x4e\x79\x79\x79\x79\x79\x79\x79\x79\x16\x16\x16\x19\x14\x0f\x01\x81\x01\x11\x03\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
42,\x03\x01\x4e\x4e\x4e\x4e\x79\x79\x79\x79\x79\x79\x79\x79\x16\x16\x16\x23\x1e\x19\x01\x81\x01\x11\x03\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
43,\x03\x01\x4e\x4e\x4e\x4e\x79\x79\x79\x79\x79\x79\x79\x79\x16\x16\x16\x37\x32\x2d\x01\x81\x01\x11\x03\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
44,\x03\x01\x4e\x4e\x4e\x4e\x79\x79\x79\x79\x79\x79\x79\x79\x16\x16\x16\x37\x32\x2d\x01\x81\x01\x11\x03\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
45,\x03\x01\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x16\x16\x16\x0f\x0a\x05\x10\x81\x01\x16\x03\x30\x83\x03\x37\x03\x20\x82\x02\x25\x03
46,\x03\x01\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x16\x16\x16\x37\x32\x2d\x10\x81\x01\x16\x03\x30\x83\x03\x37\x03\x20\x82\x02\x25\x03
47,\x03\x01\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x75\x16\x16\x16\x37\x32\x2d\x10\x81\x01\x16\x03\x30\x83\x03\x37\x03\x20\x82\x02\x25\x03
48#kabuto,\x03\x01\x1d\x1d\x1d\x1d\xeb\xeb\xeb\xeb\xec\xec\xec\xec\x08\x03\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
48#kuwagata,\x03\x01\x1d\x1d\x1d\x1d\xec\xec\xec\xec\xeb\xeb\xeb\xeb\x08\x08\x03\x2d\x28\x23\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
49#kabuto,\x03\x01\x1d\x1d\x1d\x1d\xeb\xeb\xeb\xeb\xec\xec\xec\xec\x08\x03\x08\x37\x32\x2d\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
49#kuwagata,\x03\x01\x1d\x1d\x1d\x1d\xec\xec\xec\xec\xeb\xeb\xeb\xeb\x08\x08\x03\x37\x32\x2d\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
50,\x03\x01\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x03\x03\x03\x2d\x28\x23\x23\x12\x31\x76\x00\x32\x32\x32\x32\x00\x23\x12\x37\x65\x00
51,\x03\x01\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x03\x03\x03\x37\x32\x2d\x23\x12\x31\x76\x00\x32\x32\x32\x32\x00\x23\x12\x37\x65\x00
52,\x03\x01\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x21\x03\x03\x03\x37\x32\x2d\x23\x12\x31\x76\x00\x32\x32\x32\x32\x00\x23\x12\x37\x65\x00
53,\x03\x01\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x08\x08\x08\x2d\x28\x23\x31\x28\x31\x25\x04\x08\x12\x01\x36\x02\x31\x23\x12\x80\x07
54,\x03\x01\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x2d\x08\x08\x08\x37\x32\x2d\x31\x28\x31\x25\x04\x08\x12\x01\x36\x02\x31\x23\x12\x80\x07
55,\x01\x01\xd2\xd2\xd2\xd2\x00\x00\x00\x00\x00\x00\x00\x00\x1c\x08\x08\x0f\x0a\x05\x81\x10\x11\x05\x01\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
56,\x03\x01\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\x1c\x1c\x1c\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
57,\x03\x01\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\x1c\x1c\x1c\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
58,\x03\x01\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\xd2\x1c\x1c\x1c\x2d\x28\x23\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
59,\x03\x01\x29\x29\x29\x29\xae\xae\xae\xae\xb3\xb3\xb3\xb3\x07\x08\x1c\x2d\x28\x23\x23\x22\x32\x02\x04\x32\x03\x20\x32\x00\x10\x80\x23\x16\x06
60,\x03\x01\x29\x29\x29\x29\xae\xae\xae\xae\xb3\xb3\xb3\xb3\x07\x08\x1c\x41\x3c\x37\x23\x22\x32\x02\x04\x32\x03\x20\x32\x00\x10\x80\x23\x16\x06
61,\x03\x01\x29\x29\x29\x29\xae\xae\xae\xae\xb3\xb3\xb3\xb3\x07\x08\x1c\x37\x32\x2d\x23\x22\x32\x02\x04\x32\x03\x20\x32\x00\x10\x80\x23\x16\x06
62,\x03\x01\x1f\x1f\x1f\x1f\x1b\x1b\x1b\x1b\xae\xae\xae\xae\x17\x06\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x10\x10\x10\x10\x00
63,\x03\x01\x1f\x1f\x1f\x1f\x1b\x1b\x1b\x1b\xae\xae\xae\xae\x17\x06\x08\x41\x3c\x37\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x10\x10\x10\x10\x00
64,\x03\x01\x1f\x1f\x1f\x1f\x1b\x1b\x1b\x1b\xae\xae\xae\xae\x17\x06\x08\x37\x32\x2d\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x10\x10\x10\x10\x00
65,\x03\x01\x51\x51\x51\x51\x1b\x1b\x1b\x1b\x51\x51\x51\x51\x17\x06\x17\x2d\x28\x23\x81\x10\x10\x10\x06\x23\x23\x23\x23\x00\x23\x81\x11\x11\x07
66,\x03\x01\x51\x51\x51\x51\x1b\x1b\x1b\x1b\x51\x51\x51\x51\x17\x06\x17\x37\x32\x2d\x81\x10\x10\x10\x06\x23\x23\x23\x23\x00\x23\x81\x11\x11\x07
67,\x03\x01\x1c\x1c\x1c\x1c\xae\xae\xae\xae\xae\xae\xae\xae\x07\x08\x08\x2d\x28\x23\x48\x12\x13\x10\x02\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
68,\x03\x01\x1c\x1c\x1c\x1c\xae\xae\xae\xae\xae\xae\xae\xae\x07\x08\x08\x37\x32\x2d\x48\x12\x13\x10\x02\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
69,\x03\x01\x1c\x1c\x1c\x1c\xae\xae\xae\xae\xae\xae\xae\xae\x07\x08\x08\x37\x32\x2d\x48\x12\x13\x10\x02\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
70,\x03\x01\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x06\x06\x06\x2d\x28\x23\x08\x12\x07\x65\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
71,\x03\x01\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x43\x06\x06\x06\x37\x32\x2d\x08\x12\x07\x65\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
72,\x03\x01\xc7\xc7\xc7\xc7\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x07\x07\x07\x41\x3c\x37\x23\x00\x23\x00\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
73,\x03\x01\xc7\xc7\xc7\xc7\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x07\x07\x07\x4b\x46\x41\x23\x00\x23\x00\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
74,\x03\x01\xc7\xc7\xc7\xc7\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x07\x07\x07\x37\x32\x2d\x23\x00\x23\x00\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
75,\x03\x01\xc7\xc7\xc7\xc7\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x4d\x07\x07\x07\x37\x32\x2d\x23\x00\x23\x00\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
76,\x03\x01\xa7\xa7\xa7\xa7\x66\x66\x66\x66\x66\x66\x66\x66\x08\x08\x08\x19\x14\x0f\x12\x30\x12\x30\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
77,\x03\x01\xa7\xa7\xa7\xa7\x66\x66\x66\x66\x66\x66\x66\x66\x08\x08\x08\x37\x32\x2d\x12\x30\x12\x30\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
78,\x03\x01\xa7\xa7\xa7\xa7\x66\x66\x66\x66\x66\x66\x66\x66\x08\x08\x08\x37\x32\x2d\x12\x30\x12\x30\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
79,\x03\x01\xa7\xa7\xa7\xa7\x66\x66\x66\x66\x66\x66\x66\x66\x08\x08\x08\x37\x32\x2d\x12\x30\x12\x30\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
80,\x03\x01\x98\x98\x98\x98\x63\x63\x63\x63\x63\x63\x63\x63\x08\x1c\x1c\x23\x1e\x19\x10\x20\x30\x20\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
81,\x03\x01\x98\x98\x98\x98\x63\x63\x63\x63\x63\x63\x63\x63\x08\x1c\x1c\x37\x32\x2d\x10\x20\x30\x20\x00\x82\x31\x07\x65\x01\x82\x31\x07\x65\x01
82,\x03\x01\x98\x98\x98\x98\x63\x63\x63\x63\x63\x63\x63\x63\x08\x1c\x1c\x37\x32\x2d\x10\x20\x30\x20\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
83,\x03\x01\x98\x98\x98\x98\x63\x63\x63\x63\x63\x63\x63\x63\x08\x1c\x1c\x4b\x46\x41\x10\x20\x30\x20\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
84#kabuto,\x03\x01\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\x08\x08\x08\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
84#kuwagata,\x03\x01\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x1c\x1c\x1c\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
85#kabuto,\x03\x01\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\x08\x08\x08\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
85#kuwagata,\x03\x01\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x1c\x1c\x1c\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
86#kabuto,\x03\x01\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\xb1\x08\x08\x08\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
86#kuwagata,\x03\x01\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x9b\x1c\x1c\x1c\x37\x32\x2d\x81\x10\x11\x05\x01\x81\x10\x32\x71\x06\x10\x80\x23\x16\x06
87,\x03\x01\x74\x74\x74\x74\x72\x72\x72\x72\x73\x73\x73\x73\x07\x08\x07\x2d\x28\x23\x02\x31\x00\x80\x07\x02\x31\x00\x80\x07\x02\x31\x00\x80\x07
88,\x03\x01\xce\xce\xce\xce\x73\x73\x73\x73\x4f\x4f\x4f\x4f\x08\x07\x14\x2d\x28\x23\x23\x02\x30\x23\x00\x83\x21\x30\x37\x01\x21\x38\x07\x65\x04
89,\x03\x01\xce\xce\xce\xce\x4f\x4f\x4f\x4f\xc7\xc7\xc7\xc7\x08\x14\x07\x4b\x46\x41\x23\x02\x30\x23\x00\x82\x31\x07\x65\x01\x23\x04\x42\x35\x00
90,\x03\x01\xa7\xa7\xa7\xa7\x98\x98\x98\x98\xce\xce\xce\xce\x08\x08\x08\x4b\x46\x41\x12\x30\x12\x30\x00\x23\x23\x23\x23\x00\x10\x20\x10\x30\x00
91,\x03\x01\xce\xce\xce\xce\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x08\x14\x14\x4b\x46\x41\x23\x02\x30\x23\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
92,\x03\x01\xce\xce\xce\xce\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x08\x14\x14\x37\x32\x2d\x23\x02\x30\x23\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
93,\x03\x01\xce\xce\xce\xce\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x08\x14\x14\x37\x32\x2d\x23\x02\x30\x23\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
94,\x03\x01\xce\xce\xce\xce\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x4f\x08\x14\x14\x37\x32\x2d\x23\x02\x30\x23\x00\x82\x31\x07\x65\x01\x21\x38\x07\x65\x04
95,\x03\x01\x75\x75\x75\x75\x67\x67\x67\x67\xc2\xc2\xc2\xc2\x16\x15\x1c\x2d\x28\x23\x30\x83\x03\x37\x03\x48\x32\x10\x00\x02\x01\x01\x01\x00\x00
96,\x03\x01\xc6\xc6\xc6\xc6\xc6\xae\xae\xae\xae\xc6\xc6\xae\x07\x1d\x08\x37\x32\x2d\x10\x13\x01\x30\x06\x10\x13\x01\x30\x06\x32\x03\x20\x32\x00
97,\x03\x01\xc6\xc6\xc6\xc6\xc7\xc7\xc7\xc7\xa7\xa7\xa7\xa7\x07\x07\x08\x4b\x4b\x4b\x56\x75\x67\x56\x05\x23\x52\x37\x23\x00\x23\x23\x23\x23\x00
98,\x03\x01\x98\x98\x98\x98\xce\xce\xce\xce\x4d\x4d\x4d\x4d\x08\x08\x07\x4b\x4b\x4b\x23\x23\x23\x23\x00\x23\x23\x23\x23\x00\x81\x11\x11\x11\x00
99,\x03\x01\x66\x66\x66\x66\x63\x63\x63\x63\x4f\x4f\x4f\x4f\x08\x1c\x14\x4b\x4b\x4b\x81\x11\x11\x11\x00\x81\x11\x11\x11\x00\x81\x11\x11\x11\x00
100,\x01\x01\xb8\xb8\xb8\xb8\x00\x00\x00\x00\x00\x00\x00\x00\x06\x08\x08\x64\x64\x64\x13\x82\x31\x92\x01\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
101,\x03\x01\xa1\xa1\xa1\xa1\x9d\x9d\x9d\x9d\xdc\xdc\xdc\xdc\x07\x15\x03\x23\x1e\x19\x81\x10\x11\x05\x01\x04\x04\x04\x04\x00\x23\x10\x23\x10\x06
102,\x03\x01\xa1\xa1\xa1\xa1\x9d\x9d\x9d\x9d\xdc\xdc\xdc\xdc\x07\x15\x03\x37\x32\x2d\x81\x10\x11\x05\x01\x04\x04\x04\x04\x00\x23\x10\x23\x10\x06
