(2, ['Unknown', 'MedarotterName'], [None, 203], [(3, 0), (None, None)], [True, False], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Unknown,MedarotterName
60,\x54\x5c\x00,タンクメダロット
61,\x54\x5c\x00,タンクメダロット
62,\x55\x5d\x00,みずベメダロット
63,\x55\x5d\x00,みずベメダロット
64,\x55\x5d\x00,みずベメダロット
65,\x55\x5d\x00,みずベメダロット
66,\x55\x5d\x00,みずベメダロット
67,\x56\x5e\x00,おんなメダロット
68,\x56\x5e\x00,おんなメダロット
69,\x56\x5e\x00,おんなメダロット
70,\x56\x5e\x00,おんなメダロット
71,\x56\x5e\x00,おんなメダロット
72,\x4f\x5f\x00,ひこうメダロット
73,\x50\x60\x00,ふゆうメダロット
74,\x51\x61\x00,たそくメダロット
75,\x52\x62\x00,にそくメダロット
76,\x53\x63\x00,くるまメダロット
77,\x54\x64\x00,タンクメダロット
78,\x55\x65\x00,みずベメダロット
79,\x2a\x66\x00,おとこのこ
80,\x2a\x66\x00,おとこのこ
81,\x2a\x66\x00,おとこのこ
82,\x2a\x66\x00,おとこのこ
83,\x2a\x66\x00,おとこのこ
84,\x2b\x67\x00,おにいさん
85,\x2b\x67\x00,おにいさん
86,\x2b\x67\x00,おにいさん
87,\x2b\x67\x00,おにいさん
88,\x2b\x67\x00,おにいさん
89,\x2c\x68\x00,サラリ-マン
90,\x2c\x68\x00,サラリ-マン
91,\x2c\x68\x00,サラリ-マン
92,\x2c\x68\x00,サラリ-マン
93,\x2c\x68\x00,サラリ-マン
94,\x2d\x69\x00,おばさん
95,\x2d\x69\x00,おばさん
96,\x2d\x69\x00,おばさん
97,\x2d\x69\x00,おばさん
98,\x2d\x69\x00,おばさん
99,\x2e\x6a\x00,おじいさん
100,\x2e\x6a\x00,おじいさん
101,\x2e\x6a\x00,おじいさん
102,\x2e\x6a\x00,おじいさん
103,\x2e\x6a\x00,おじいさん
104,\x2f\x6b\x00,おばあさん
105,\x2f\x6b\x00,おばあさん
106,\x2f\x6b\x00,おばあさん
107,\x2f\x6b\x00,おばあさん
108,\x2f\x6b\x00,おばあさん
109,\x30\x6c\x00,はくい
110,\x30\x6c\x00,はくい
111,\x30\x6c\x00,はくい
112,\x30\x6c\x00,はくい
113,\x30\x6c\x00,はくい
114,\x31\x6d\x00,にんじゃ
115,\x31\x6d\x00,にんじゃ
116,\x31\x6d\x00,にんじゃ
117,\x31\x6d\x00,にんじゃ
118,\x31\x6d\x00,にんじゃ
119,\x32\x6e\x00,ふなのリ
120,\x32\x6e\x00,ふなのリ
121,\x32\x6e\x00,ふなのリ
122,\x32\x6e\x00,ふなのリ
123,\x32\x6e\x00,ふなのリ
124,\x33\x6f\x00,やまぶし
125,\x33\x6f\x00,やまぶし
126,\x33\x6f\x00,やまぶし
127,\x33\x6f\x00,やまぶし
128,\x33\x6f\x00,やまぶし
129,\x34\x70\x00,サ-ファ-
130,\x34\x70\x00,サ-ファ-
131,\x34\x70\x00,サ-ファ-
132,\x34\x70\x00,サ-ファ-
133,\x34\x70\x00,サ-ファ-
134,\x35\x71\x00,おんなのこ
135,\x35\x71\x00,おんなのこ
136,\x35\x71\x00,おんなのこ
137,\x35\x71\x00,おんなのこ
138,\x35\x71\x00,おんなのこ
139,\x36\x72\x00,じょしこうせい
140,\x36\x72\x00,じょしこうせい
141,\x36\x72\x00,じょしこうせい
142,\x36\x72\x00,じょしこうせい
143,\x36\x72\x00,じょしこうせい
144,\x37\x73\x00,オフィスレディ
145,\x37\x73\x00,オフィスレディ
146,\x37\x73\x00,オフィスレディ
147,\x37\x73\x00,オフィスレディ
148,\x37\x73\x00,オフィスレディ
149,\x38\x74\x00,コンパニオン
150,\x38\x74\x00,コンパニオン
151,\x38\x74\x00,コンパニオン
152,\x38\x74\x00,コンパニオン
153,\x38\x74\x00,コンパニオン
154,\x39\x75\x00,バニ-
155,\x39\x75\x00,バニ-
156,\x39\x75\x00,バニ-
157,\x39\x75\x00,バニ-
158,\x39\x75\x00,バニ-
159,\x3a\x76\x00,くのいち
160,\x3a\x76\x00,くのいち
161,\x3a\x76\x00,くのいち
162,\x3a\x76\x00,くのいち
163,\x3a\x76\x00,くのいち
164,\x3b\x77\x00,はまベギャル
165,\x3b\x77\x00,はまベギャル
166,\x3b\x77\x00,はまベギャル
167,\x3b\x77\x00,はまベギャル
168,\x3b\x77\x00,はまベギャル
169,\x3c\x78\x00,はなぞのだんし
170,\x3c\x78\x00,はなぞのだんし
171,\x3c\x78\x00,はなぞのだんし
172,\x3c\x78\x00,はなぞのだんし
173,\x3c\x78\x00,はなぞのだんし
174,\x3d\x79\x00,はなぞのじょし
175,\x3d\x79\x00,はなぞのじょし
176,\x3d\x79\x00,はなぞのじょし
177,\x3d\x79\x00,はなぞのじょし
178,\x3d\x79\x00,はなぞのじょし
179,\x3e\x7a\x00,サザンカだんし
180,\x3e\x7a\x00,サザンカだんし
181,\x3e\x7a\x00,サザンカだんし
182,\x3e\x7a\x00,サザンカだんし
183,\x3e\x7a\x00,サザンカだんし
184,\x3f\x7b\x00,サザンカじょし
185,\x3f\x7b\x00,サザンカじょし
186,\x3f\x7b\x00,サザンカじょし
187,\x3f\x7b\x00,サザンカじょし
188,\x3f\x7b\x00,サザンカじょし
189,\x40\x7c\x00,カメヤマだんし
190,\x40\x7c\x00,カメヤマだんし
191,\x40\x7c\x00,カメヤマだんし
192,\x40\x7c\x00,カメヤマだんし
193,\x40\x7c\x00,カメヤマだんし
194,\x41\x7d\x00,カメヤマじょし
195,\x41\x7d\x00,カメヤマじょし
196,\x41\x7d\x00,カメヤマじょし
197,\x41\x7d\x00,カメヤマじょし
198,\x41\x7d\x00,カメヤマじょし
199,\x42\x7e\x00,トラニシだんし
200,\x42\x7e\x00,トラニシだんし
201,\x42\x7e\x00,トラニシだんし
202,\x42\x7e\x00,トラニシだんし
203,\x42\x7e\x00,トラニシだんし
204,\x43\x7f\x00,トラニシじょし
205,\x43\x7f\x00,トラニシじょし
206,\x43\x7f\x00,トラニシじょし
207,\x43\x7f\x00,トラニシじょし
208,\x43\x7f\x00,トラニシじょし
209,\x44\x80\x00,ジャクナンじょし
210,\x44\x80\x00,ジャクナンじょし
211,\x44\x80\x00,ジャクナンじょし
212,\x44\x80\x00,ジャクナンじょし
213,\x44\x80\x00,ジャクナンじょし
214,\x45\x81\x00,リュウトウだんし
215,\x45\x81\x00,リュウトウだんし
216,\x45\x81\x00,リュウトウだんし
217,\x45\x81\x00,リュウトウだんし
218,\x45\x81\x00,リュウトウだんし
219,\x46\x82\x00,リュウトウじょし
220,\x46\x82\x00,リュウトウじょし
221,\x46\x82\x00,リュウトウじょし
222,\x46\x82\x00,リュウトウじょし
223,\x46\x82\x00,リュウトウじょし
224,\x47\x83\x00,コクエンたい
225,\x47\x83\x00,コクエンたい
226,\x47\x83\x00,コクエンたい
227,\x47\x83\x00,コクエンたい
228,\x47\x83\x00,コクエンたい
229,\x48\x84\x00,ハクマたい
230,\x48\x84\x00,ハクマたい
231,\x48\x84\x00,ハクマたい
232,\x48\x84\x00,ハクマたい
233,\x48\x84\x00,ハクマたい
234,\x49\x85\x00,シュリたい
235,\x49\x85\x00,シュリたい
236,\x49\x85\x00,シュリたい
237,\x49\x85\x00,シュリたい
238,\x49\x85\x00,シュリたい
239,\x49\x85\x00,シュリたい
240,\x49\x85\x00,シュリたい
241,\x49\x85\x00,シュリたい
242,\x49\x85\x00,シュリたい
243,\x49\x85\x00,シュリたい
244,\x49\x85\x00,シュリたい
245,\x49\x85\x00,シュリたい
246,\x49\x85\x00,シュリたい
247,\x49\x85\x00,シュリたい
248,\x49\x85\x00,シュリたい
249,\x49\x85\x00,シュリたい
250,\x49\x85\x00,シュリたい
251,\x49\x85\x00,シュリたい
252,\x49\x85\x00,シュリたい
253,\x49\x85\x00,シュリたい
254,\x49\x85\x00,シュリたい
255,\x49\x85\x00,シュリたい
