(1, [], [None], [(35, 0)], [True], None, None, True, None)
256
kabuto#-1
kuwagata#-1
Index[#version],Entry00
10,\x03\x01\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x16\x16\x16\x0f\x0a\x05\x23\x02\x31\x10\x02\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
11,\x03\x01\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x16\x16\x16\x19\x14\x0f\x23\x02\x31\x10\x02\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
12,\x03\x01\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x16\x16\x16\x23\x1e\x19\x23\x02\x31\x10\x02\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
13,\x03\x01\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x6e\x16\x16\x16\x2d\x28\x23\x23\x02\x31\x10\x02\x13\x10\x33\x30\x00\x21\x03\x10\x20\x00
14,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x0f\x0a\x05\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
15,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x19\x14\x0f\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
16,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x23\x1e\x19\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
17,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x2d\x28\x23\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
18,\x03\x01\xae\xae\xae\xae\x6e\x6e\x6e\x6e\xae\xae\xae\xae\x08\x16\x08\x0f\x0a\x05\x23\x10\x23\x10\x00\x13\x10\x33\x30\x00\x10\x10\x10\x10\x00
19,\x03\x01\xae\xae\xae\xae\x6e\x6e\x6e\x6e\xae\xae\xae\xae\x08\x16\x08\x19\x14\x0f\x23\x10\x23\x10\x00\x13\x10\x33\x30\x00\x10\x10\x10\x10\x00
20,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x23\x1e\x19\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
21,\x03\x01\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\xae\x08\x08\x08\x2d\x28\x23\x23\x10\x23\x10\x00\x32\x03\x20\x32\x00\x10\x10\x10\x10\x00
22,\x03\x01\x1b\x1b\x1b\x1b\x6e\x6e\x6e\x6e\x1b\x1b\x1b\x1b\x06\x16\x06\x0f\x0a\x05\x23\x12\x31\x23\x00\x13\x10\x33\x30\x00\x48\x11\x11\x11\x02
23,\x03\x01\x1b\x1b\x1b\x1b\x6e\x6e\x6e\x6e\x1b\x1b\x1b\x1b\x06\x16\x06\x19\x14\x0f\x23\x12\x31\x23\x00\x13\x10\x33\x30\x00\x48\x11\x11\x11\x02
24,\x03\x01\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x06\x06\x06\x23\x1e\x19\x23\x12\x31\x23\x00\x23\x23\x23\x23\x00\x48\x11\x11\x11\x02
25,\x03\x01\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x1b\x06\x06\x06\x2d\x28\x23\x23\x12\x31\x23\x00\x23\x23\x23\x23\x00\x48\x11\x11\x11\x02
26,\x03\x01\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\x1c\x1c\x1c\x0f\x0a\x05\x23\x00\x81\x15\x01\x81\x10\x11\x71\x06\x10\x80\x23\x16\x06
27,\x03\x01\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\x1c\x1c\x1c\x19\x14\x0f\x23\x00\x81\x15\x01\x81\x10\x11\x71\x06\x10\x80\x23\x16\x06
28,\x03\x01\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\x1c\x1c\x1c\x23\x1e\x19\x23\x00\x81\x15\x01\x81\x10\x11\x71\x06\x10\x80\x23\x16\x06
29,\x03\x01\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\xb3\x1c\x1c\x1c\x2d\x28\x23\x23\x00\x81\x15\x01\x81\x10\x11\x71\x06\x10\x80\x23\x16\x06
30,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x37\x32\x2d\x11\x23\x11\x15\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
31,\x03\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x08\x08\x08\x37\x32\x2d\x11\x23\x11\x15\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
32,\x03\x01\x41\x41\x41\x41\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
33,\x03\x01\xe2\xe2\xe2\xe2\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x19\x14\x0f\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
34,\x03\x01\xe2\xe2\xe2\xe2\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x23\x1e\x19\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
35,\x03\x01\xe2\xe2\xe2\xe2\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
36,\x03\x01\xe2\xe2\xe2\xe2\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x37\x32\x2d\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
37,\x03\x01\x1b\x1b\x1b\x1b\x17\x17\x17\x17\x15\x15\x15\x15\x06\x14\x14\x0f\x0a\x05\x23\x12\x31\x23\x00\x22\x21\x33\x35\x00\x23\x10\x23\x10\x06
38,\x03\x01\x1b\x1b\x1b\x1b\x17\x17\x17\x17\x15\x15\x15\x15\x06\x14\x14\x19\x14\x0f\x23\x12\x31\x23\x00\x22\x21\x33\x35\x00\x23\x10\x23\x10\x06
39,\x03\x01\xe5\x1b\x1b\xe5\xe5\x6e\x6e\xe5\xe5\xae\xae\xe5\x09\x1c\x1c\x23\x1e\x19\x23\x10\x23\x10\x06\x23\x10\x23\x10\x06\x23\x10\x23\x10\x06
40,\x03\x01\x1b\x1b\x1b\x1b\x17\x17\x17\x17\x15\x15\x15\x15\x06\x14\x14\x2d\x28\x23\x23\x12\x31\x23\x00\x22\x21\x33\x35\x00\x23\x10\x23\x10\x06
41,\x03\x01\xe5\xe5\xe5\xe5\x17\x17\x17\x17\x15\x15\x15\x15\x1c\x14\x14\x37\x32\x2d\x21\x03\x10\x23\x05\x22\x21\x33\x35\x00\x23\x10\x23\x10\x06
42,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x0f\x0a\x05\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
43,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x19\x14\x0f\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
44,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x23\x1e\x19\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
45,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x2d\x28\x23\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
46,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x37\x32\x2d\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
47,\x02\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x00\x00\x00\x00\x08\x15\x08\x0f\x0a\x05\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x11\x11\x11\x15\x00
48,\x03\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x81\x81\x81\x81\x08\x15\x08\x19\x14\x0f\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x00\x08\x10\x81\x05
49,\x03\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x81\x81\x81\x81\x08\x15\x08\x23\x1e\x19\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x00\x08\x10\x81\x05
50,\x03\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x81\x81\x81\x81\x08\x15\x08\x2d\x28\x23\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x00\x08\x10\x81\x05
51,\x03\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x81\x81\x81\x81\x08\x15\x08\x37\x32\x2d\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x00\x08\x10\x81\x05
52,\x01\x01\x6c\x6c\x6c\x6c\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x0f\x0a\x05\x21\x03\x10\x23\x05\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
53,\x02\x01\x6c\x6c\x6c\x6c\x5f\x5f\x5f\x5f\x00\x00\x00\x00\x15\x06\x08\x19\x14\x0f\x21\x03\x10\x23\x05\x12\x32\x32\x15\x00\x11\x11\x11\x15\x00
54,\x03\x01\x6c\x6c\x6c\x6c\x5f\x5f\x5f\x5f\x77\x77\x77\x77\x15\x06\x08\x23\x1e\x19\x21\x03\x10\x23\x05\x12\x32\x32\x15\x00\x00\x08\x10\x81\x05
55,\x03\x01\x6c\x6c\x6c\x6c\x5f\x5f\x5f\x5f\x77\x77\x77\x77\x15\x06\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x12\x32\x32\x15\x00\x00\x08\x10\x81\x05
56,\x03\x01\x6c\x6c\x6c\x6c\x5f\x5f\x5f\x5f\x77\x77\x77\x77\x15\x06\x08\x37\x32\x2d\x21\x03\x10\x23\x05\x12\x32\x32\x15\x00\x00\x08\x10\x81\x05
57,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x0f\x0a\x05\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
58,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x19\x14\x0f\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
59,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x23\x1e\x19\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
60,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x2d\x28\x23\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
61,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x37\x32\x2d\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
62,\x03\x01\xe1\xe1\xe1\xe1\x61\x61\x61\x61\x95\x95\x95\x95\x06\x15\x08\x0f\x0a\x05\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
63,\x03\x01\x50\x50\x50\x50\x61\x61\x61\x61\x95\x95\x95\x95\x15\x15\x08\x19\x14\x0f\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
64,\x03\x01\xe1\xe1\xe1\xe1\x61\x61\x61\x61\x95\x95\x95\x95\x06\x15\x08\x23\x1e\x19\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
65,\x03\x01\x50\x50\x50\x50\x61\x61\x61\x61\x95\x95\x95\x95\x15\x15\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
66,\x03\x01\xe1\xe1\xe1\xe1\x61\x61\x61\x61\x95\x95\x95\x95\x06\x15\x08\x37\x32\x2d\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
67,\x03\x01\xbb\xbb\xbb\xbb\x5d\x5d\x5d\x5d\x5e\x5e\x5e\x5e\x03\x16\x06\x0f\x0a\x05\x21\x03\x10\x23\x05\x11\x32\x32\x33\x07\x11\x11\x11\x15\x00
68,\x03\x01\xbb\xbb\xbb\xbb\x5d\x5d\x5d\x5d\x5e\x5e\x5e\x5e\x03\x16\x06\x19\x14\x0f\x21\x03\x10\x23\x05\x11\x32\x32\x33\x07\x11\x11\x11\x15\x00
69,\x03\x01\xbb\xbb\xbb\xbb\x5d\x5d\x5d\x5d\x5e\x5e\x5e\x5e\x03\x16\x06\x23\x1e\x19\x21\x03\x10\x23\x05\x11\x32\x32\x33\x07\x11\x11\x11\x15\x00
70,\x03\x01\xbb\xbb\xbb\xbb\x5d\x5d\x5d\x5d\x5e\x5e\x5e\x5e\x03\x16\x06\x2d\x28\x23\x21\x03\x10\x23\x05\x11\x32\x32\x33\x07\x11\x11\x11\x15\x00
71,\x03\x01\xbb\xbb\xbb\xbb\x5d\x5d\x5d\x5d\x5e\x5e\x5e\x5e\x03\x16\x06\x37\x32\x2d\x21\x03\x10\x23\x05\x11\x32\x32\x33\x07\x11\x11\x11\x15\x00
72,\x03\x01\xe2\xe2\xe2\xe2\x60\x60\x60\x60\x11\x11\x11\x11\x15\x15\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
73,\x03\x01\x1b\x1b\x1b\x1b\x17\x17\x17\x17\x15\x15\x15\x15\x06\x14\x14\x2d\x28\x23\x23\x12\x31\x23\x00\x22\x21\x33\x35\x00\x23\x10\x23\x10\x06
74,\x03\x01\x28\x28\x28\x28\x20\x20\x20\x20\x31\x31\x31\x31\x17\x08\x08\x2d\x28\x23\x12\x31\x23\x56\x00\x04\x80\x80\x08\x02\x00\x08\x10\x81\x05
75,\x03\x01\x62\x62\x62\x62\x7a\x7a\x7a\x7a\x81\x81\x81\x81\x08\x15\x08\x2d\x28\x23\x12\x33\x23\x21\x00\x10\x13\x01\x30\x06\x00\x08\x10\x81\x05
76,\x03\x01\x6c\x6c\x6c\x6c\x5f\x5f\x5f\x5f\x77\x77\x77\x77\x15\x06\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x12\x32\x32\x15\x00\x00\x08\x10\x81\x05
77,\x03\x01\x7f\x7f\x7f\x7f\x7b\x7b\x7b\x7b\x7c\x7c\x7c\x7c\x15\x14\x14\x2d\x28\x23\x21\x03\x10\x23\x05\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
78,\x03\x01\xe1\xe1\xe1\xe1\x61\x61\x61\x61\x95\x95\x95\x95\x06\x15\x08\x2d\x28\x23\x21\x03\x10\x23\x05\x23\x23\x23\x23\x00\x23\x87\x23\x18\x03
79,\x01\x00\x3e\x3e\x3e\x3e\x00\x00\x00\x00\x00\x00\x00\x00\x07\x08\x08\x0f\x0a\x05\x23\x02\x30\x23\x00\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
80,\x02\x00\x3e\x3e\x3e\x3e\x3f\x3f\x3f\x3f\x00\x00\x00\x00\x07\x1b\x08\x19\x14\x0f\x23\x02\x30\x23\x00\x12\x13\x12\x13\x00\x11\x11\x11\x15\x00
81,\x03\x00\x3e\x3e\x3e\x3e\x3f\x3f\x3f\x3f\xe0\xe0\xe0\x2a\x07\x1b\x07\x23\x1e\x19\x23\x02\x30\x23\x00\x12\x13\x12\x13\x00\x22\x02\x02\x02\x00
82,\x03\x00\x3e\x3e\x3e\x3e\x3f\x3f\x3f\x3f\xe0\xe0\xe0\x2a\x07\x1b\x07\x2d\x28\x23\x23\x02\x30\x23\x00\x12\x13\x12\x13\x00\x22\x02\x02\x02\x00
83,\x03\x00\x3e\x3e\x3e\x3e\x3f\x3f\x3f\x3f\xe0\xe0\xe0\x2a\x07\x1b\x07\x37\x32\x2d\x23\x02\x30\x23\x00\x12\x13\x12\x13\x00\x22\x02\x02\x02\x00
84,\x03\x00\x07\x07\x07\x07\x06\x06\x06\x06\x05\x05\x05\x2b\x14\x1c\x06\x0f\x0a\x05\x11\x32\x32\x32\x02\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
85,\x03\x00\x07\x07\x07\x07\x06\x06\x06\x06\x05\x05\x05\x2b\x14\x1c\x06\x19\x14\x0f\x11\x32\x32\x32\x02\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
86,\x03\x00\x07\x07\x07\x07\x06\x06\x06\x06\x05\x05\x05\x2b\x14\x1c\x06\x23\x1e\x19\x11\x32\x32\x32\x02\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
87,\x03\x00\x07\x07\x07\x07\x06\x06\x06\x06\x05\x05\x05\x2b\x14\x1c\x06\x2d\x28\x23\x11\x32\x32\x32\x02\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
88,\x03\x00\x07\x07\x07\x07\x06\x06\x06\x06\x05\x05\x05\x2b\x14\x1c\x06\x37\x32\x2d\x11\x32\x32\x32\x02\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
89,\x01\x00\x70\x70\x70\x70\x00\x00\x00\x00\x00\x00\x00\x00\x16\x08\x08\x0f\x0a\x05\x23\x02\x31\x10\x02\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
90,\x02\x00\x70\x70\x70\x70\x6f\x6f\x6f\x6f\x00\x00\x00\x00\x16\x08\x08\x19\x14\x0f\x23\x02\x31\x10\x02\x10\x13\x01\x30\x06\x11\x11\x11\x15\x00
91,\x03\x00\x70\x70\x70\x70\x6f\x6f\x6f\x6f\x6d\x6d\x6d\x2c\x16\x08\x07\x23\x1e\x19\x23\x02\x31\x10\x02\x10\x13\x01\x30\x06\x66\x66\x66\x66\x00
92,\x03\x00\x70\x70\x70\x70\x6f\x6f\x6f\x6f\x6d\x6d\x6d\x2c\x16\x08\x07\x2d\x28\x23\x23\x02\x31\x10\x02\x10\x13\x01\x30\x06\x66\x66\x66\x66\x00
93,\x03\x00\x70\x70\x70\x70\x6f\x6f\x6f\x6f\x6d\x6d\x6d\x2c\x16\x08\x07\x37\x32\x2d\x23\x02\x31\x10\x02\x10\x13\x01\x30\x06\x66\x66\x66\x66\x00
94,\x03\x00\x26\x26\x26\x26\x24\x24\x24\x24\x26\x26\x26\x2a\x17\x04\x17\x0f\x0a\x05\x23\x02\x31\x10\x02\x21\x31\x21\x31\x00\x21\x03\x10\x20\x00
95,\x03\x00\x26\x26\x26\x26\x24\x24\x24\x24\x26\x26\x26\x2a\x17\x04\x17\x19\x14\x0f\x23\x02\x31\x10\x02\x21\x31\x21\x31\x00\x21\x03\x10\x20\x00
96,\x03\x00\x26\x26\x26\x26\x24\x24\x24\x24\x26\x26\x26\x2a\x17\x04\x17\x23\x1e\x19\x23\x02\x31\x10\x02\x21\x31\x21\x31\x00\x21\x03\x10\x20\x00
97,\x03\x00\x26\x26\x26\x26\x24\x24\x24\x24\x26\x26\x26\x2a\x17\x04\x17\x2d\x28\x23\x23\x02\x31\x10\x02\x21\x31\x21\x31\x00\x21\x03\x10\x20\x00
98,\x03\x00\x26\x26\x26\x26\x24\x24\x24\x24\x26\x26\x26\x2a\x17\x04\x17\x37\x32\x2d\x23\x02\x31\x10\x02\x21\x31\x21\x31\x00\x21\x03\x10\x20\x00
99#kabuto,\x03\x00\xb6\xb6\xb6\xb6\xa3\xa3\xa3\xa3\x0e\x0e\x0e\x0e\x1a\x08\x1c\x0f\x0a\x05\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
99#kuwagata,\x03\x00\xbe\xbe\xbe\xbe\xa0\xa0\xa0\xa0\x0e\x0e\x0e\x0e\x1d\x1c\x1c\x0f\x0a\x05\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
100#kabuto,\x03\x00\xb6\xb6\xb6\xb6\xa3\xa3\xa3\xa3\x0e\x0e\x0e\x0e\x1a\x08\x1c\x19\x14\x0f\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
100#kuwagata,\x03\x00\xbe\xbe\xbe\xbe\xa0\xa0\xa0\xa0\x0e\x0e\x0e\x0e\x1d\x1c\x1c\x19\x14\x0f\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
101#kabuto,\x03\x00\xb6\xb6\xb6\xb6\xa3\xa3\xa3\xa3\x0e\x0e\x0e\x0e\x1a\x08\x1c\x23\x1e\x19\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
101#kuwagata,\x03\x00\xbe\xbe\xbe\xbe\xa0\xa0\xa0\xa0\x0e\x0e\x0e\x0e\x1d\x1c\x1c\x23\x1e\x19\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
102#kabuto,\x03\x00\xb6\xb6\xb6\xb6\xa3\xa3\xa3\xa3\x0e\x0e\x0e\x0e\x1a\x08\x1c\x2d\x28\x23\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
102#kuwagata,\x03\x00\xbe\xbe\xbe\xbe\xa0\xa0\xa0\xa0\x0e\x0e\x0e\x0e\x1d\x1c\x1c\x2d\x28\x23\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
103#kabuto,\x03\x00\xb6\xb6\xb6\xb6\xa3\xa3\xa3\xa3\x0e\x0e\x0e\x0e\x1a\x08\x1c\x37\x32\x2d\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
103#kuwagata,\x03\x00\xbe\xbe\xbe\xbe\xa0\xa0\xa0\xa0\x0e\x0e\x0e\x0e\x1d\x1c\x1c\x37\x32\x2d\x21\x83\x10\x23\x05\x10\x13\x01\x30\x06\x11\x11\x11\x11\x00
104,\x03\x00\x30\x30\x30\x30\x2e\x2e\x2e\x2e\x2f\x2f\x2f\x2f\x06\x14\x14\x0f\x0a\x05\x23\x12\x32\x31\x03\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
105,\x03\x00\x30\x30\x30\x30\x2e\x2e\x2e\x2e\x2f\x2f\x2f\x2f\x06\x14\x14\x19\x14\x0f\x23\x12\x32\x31\x03\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
106,\x03\x00\x30\x30\x30\x30\x2e\x2e\x2e\x2e\x2f\x2f\x2f\x2f\x06\x14\x14\x23\x1e\x19\x23\x12\x32\x31\x03\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
107,\x03\x00\x30\x30\x30\x30\x2e\x2e\x2e\x2e\x2f\x2f\x2f\x2f\x06\x14\x14\x2d\x28\x23\x23\x12\x32\x31\x03\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
108,\x03\x00\x30\x30\x30\x30\x2e\x2e\x2e\x2e\x2f\x2f\x2f\x2f\x06\x14\x14\x37\x32\x2d\x23\x12\x32\x31\x03\x10\x13\x01\x30\x06\x23\x10\x23\x10\x06
109,\x01\x00\xc1\xc1\xc1\xc1\x00\x00\x00\x00\x00\x00\x00\x00\x15\x08\x08\x0f\x0a\x05\x23\x13\x01\x35\x06\x23\x11\x11\x15\x02\x11\x11\x11\x15\x00
110,\x02\x00\xc1\xc1\xc1\xc1\xef\xef\xef\xef\x00\x00\x00\x00\x15\x1c\x08\x19\x14\x0f\x23\x13\x01\x35\x06\x10\x13\x01\x30\x06\x11\x11\x11\x15\x00
111,\x03\x00\xc1\xc1\xc1\xc1\xef\xef\xef\xef\xc4\xc4\xc4\xc4\x15\x1c\x07\x23\x1e\x19\x23\x13\x01\x35\x06\x10\x13\x01\x30\x06\x10\x80\x23\x16\x06
112,\x03\x00\xc1\xc1\xc1\xc1\xef\xef\xef\xef\xc4\xc4\xc4\xc4\x15\x1c\x07\x2d\x28\x23\x23\x13\x01\x35\x06\x10\x13\x01\x30\x06\x10\x80\x23\x16\x06
113,\x03\x00\xc1\xc1\xc1\xc1\xef\xef\xef\xef\xc4\xc4\xc4\xc4\x15\x1c\x07\x37\x32\x2d\x23\x13\x01\x35\x06\x10\x13\x01\x30\x06\x10\x80\x23\x16\x06
